investorid,firstname,lastname,email,phonenumber,countryid,datejoined,riskprofile,investortype,status
INV0053,Rahul,Brown,rahul.brown@example.com,353813326769,C007,2024-01-03,High,Institutional,Active
INV0054,James,Gupta,james.gupta@example.com,353845810056,C004,2023-11-23,High,Individual,Active
INV0055,Nisha,Kelly,nisha.kelly@example.com,353836786211,C004,2025-07-31,Medium,Individual,Active
INV0056,Emma,Wilson,emma.wilson@example.com,353898588154,C001,2024-01-31,Medium,Individual,Active
INV0057,Rahul,Taylor,rahul.taylor@example.com,353896098221,C006,2025-11-09,Medium,Individual,Active
INV0058,Anna,Smith,anna.smith@example.com,353845059710,C002,2024-01-01,High,Institutional,Active
INV0059,Sarah,Clark,sarah.clark@example.com,353856397338,C007,2024-10-04,Medium,Individual,Active
INV0060,James,Singh,james.singh@example.com,353835511941,C010,2024-06-05,Low,Individual,Active
INV0061,Meera,Gupta,meera.gupta@example.com,353836445607,C009,2025-01-15,Medium,Individual,Active
INV0062,Anna,Clark,anna.clark@example.com,353899038359,C006,2023-09-13,High,Institutional,Active
INV0063,Arjun,Martin,arjun.martin@example.com,353864009265,C006,2024-08-28,High,Individual,Active
INV0064,James,Sharma,james.sharma@example.com,353892613013,C003,2026-03-11,Medium,Individual,Active
INV0065,Michael,Taylor,michael.taylor@example.com,353867698610,C004,2026-04-02,High,Individual,Active
INV0066,Olivia,Sharma,olivia.sharma@example.com,353878608612,C004,2025-08-27,High,Individual,Active
INV0067,Daniel,Sharma,daniel.sharma@example.com,353854988206,C010,2023-07-11,Low,Individual,Active
INV0068,Emma,Brown,emma.brown@example.com,353816202700,C001,2024-05-16,Medium,Individual,Active
INV0069,Olivia,Martin,olivia.martin@example.com,353836096655,C010,2025-02-25,Medium,Individual,Active
INV0070,Priya,Smith,priya.smith@example.com,353867062156,C002,2024-03-24,Low,Corporate,Active
INV0071,Olivia,Smith,olivia.smith@example.com,353843446826,C009,2023-09-06,Medium,Individual,Active
INV0072,Daniel,Davis,daniel.davis@example.com,353852587010,C010,2025-06-25,High,Corporate,Active
INV0073,James,Rao,james.rao@example.com,353869849511,C009,2023-11-22,High,Corporate,Active
INV0074,Rahul,Wilson,rahul.wilson@example.com,353879967676,C005,2025-09-19,High,Individual,Active
INV0075,Priya,Taylor,priya.taylor@example.com,353846468984,C004,2024-11-18,Medium,Corporate,Active
INV0076,David,Wilson,david.wilson@example.com,353830509175,C007,2024-03-14,Low,Individual,Active
INV0077,Olivia,Martin,olivia.martin@example.com,353837760841,C001,2025-05-10,Medium,Institutional,Active
INV0078,Priya,Smith,priya.smith@example.com,353861053877,C010,2025-09-03,Low,Institutional,Active
INV0079,James,Rao,james.rao@example.com,353882238741,C007,2026-01-23,High,Corporate,Active
INV0080,Michael,Martin,michael.martin@example.com,353813895645,C008,2025-03-07,Medium,Individual,Active
INV0081,Priya,Brown,priya.brown@example.com,353827129912,C008,2025-12-29,Low,Institutional,Active
INV0082,Arjun,Smith,arjun.smith@example.com,353896268397,C002,2025-05-27,Low,Corporate,Active
INV0083,Michael,Martin,michael.martin@example.com,353838408562,C006,2025-07-20,Medium,Individual,Active
INV0084,Michael,Gupta,michael.gupta@example.com,353843859311,C007,2023-06-17,Medium,Individual,Active
INV0085,Anna,Wilson,anna.wilson@example.com,353897477029,C002,2023-03-24,Low,Institutional,Active
INV0086,John,Clark,john.clark@example.com,353842016960,C003,2023-09-16,Medium,Individual,Active
INV0087,Emma,Kelly,emma.kelly@example.com,353859512272,C005,2023-12-10,High,Individual,Active
INV0088,Sarah,Gupta,sarah.gupta@example.com,353851746937,C003,2023-08-10,High,Individual,Active
INV0089,Arjun,Singh,arjun.singh@example.com,353863238057,C007,2024-02-11,Low,Individual,Active
INV0090,Emma,Murphy,emma.murphy@example.com,353890585882,C005,2023-09-05,High,Corporate,Active
INV0091,James,Sharma,james.sharma@example.com,353819255216,C006,2025-11-02,High,Individual,Active
INV0092,Nisha,Kelly,nisha.kelly@example.com,353868186525,C002,2025-01-11,High,Corporate,Active
INV0093,David,Martin,david.martin@example.com,353880027662,C003,2024-07-07,High,Corporate,Active
INV0094,Olivia,Kelly,olivia.kelly@example.com,353889520597,C007,2024-07-03,Medium,Corporate,Active
INV0095,Sarah,Taylor,sarah.taylor@example.com,353842730796,C008,2025-08-09,High,Individual,Active
INV0096,John,Kelly,john.kelly@example.com,353834406132,C006,2025-09-25,Low,Individual,Active
INV0097,Michael,Singh,michael.singh@example.com,353847080140,C010,2026-02-12,Low,Individual,Active
INV0098,Emma,Patel,emma.patel@example.com,353875575808,C007,2026-02-11,Low,Individual,Active
INV0099,Olivia,Kelly,olivia.kelly@example.com,353822489409,C001,2024-08-25,Low,Individual,Active
INV0100,Arjun,Clark,arjun.clark@example.com,353873519947,C006,2026-02-07,High,Individual,Inactive
